district_code,district_name,gu_name,dong_name,industry,year,quarter,lat,lng,pop_total,households,age_20_30_ratio,age_40_50_ratio,workplace_pop,resident_pop,foot_traffic_daily,foot_traffic_lunch,foot_traffic_dinner,dwell_time_avg,foot_traffic_3yr_growth,card_sales_avg,industry_spend_ratio,avg_ticket_size,competitor_count_100m,competitor_count_500m,openings_1yr,closures_1yr,competitor_density,avg_operating_months,rent_per_m2,vacancy_rate,building_age,transit_passengers_daily,data_quality_score,monthly_revenue_actual,target_monthly_revenue,target_success_label,target_closure_risk
100001,강남구 동1가 상권,강남구,강남구 동1가,병의원/클리닉,2022,Q2,37.642574,127.06211,22327,9021,0.3053,0.2759,36117,17757,98466,30170,41251,74.1,0.0164,37558.0,0.235,21975.0,2,9,4,1,0.2,42.6,103821.0,0.01,12.6,121290,0.861,133375175.0,13337.5,1,0
100002,강남구 동1가 상권,강남구,강남구 동1가,카페/디저트,2024,Q1,37.54366,127.122495,20215,9348,0.2784,0.3101,13820,14888,53615,12583,18439,36.5,0.0132,66242.0,0.39,18960.0,8,68,4,0,1.511,49.9,56590.0,0.0973,27.5,61119,0.86,21944150.0,2194.4,0,2
100003,강남구 동1가 상권,강남구,강남구 동1가,병의원/클리닉,2023,Q2,37.621137,127.072054,20350,9686,0.3562,0.339,48256,13665,113883,42620,44933,23.8,-0.0248,50054.0,0.4,19876.0,12,103,7,1,2.289,44.9,73043.0,0.0713,4.5,143743,0.974,137652064.0,13765.2,1,0
100004,강남구 동1가 상권,강남구,강남구 동1가,미용/뷰티,2025,Q3,37.613223,126.915082,15875,7271,0.3479,0.1714,63093,13791,194374,72456,62007,69.3,-0.0648,48894.0,0.374,8970.0,7,34,2,3,0.756,67.7,46154.0,0.0784,21.3,12057,0.862,99552554.0,9955.3,1,1
100005,강남구 동1가 상권,강남구,강남구 동1가,음식점/식당,2023,Q4,37.515016,127.108038,7771,3223,0.3666,0.3405,51913,6286,161428,39409,49958,38.2,-0.0032,46878.0,0.418,14279.0,1,5,4,0,0.111,41.6,78381.0,0.073,3.0,10186,0.855,100476392.0,10047.6,1,0
100006,강남구 동1가 상권,강남구,강남구 동1가,음식점/식당,2025,Q3,37.609578,127.110512,32944,14211,0.4502,0.2922,14964,24594,46913,10884,15238,33.3,0.0295,49911.0,0.331,17047.0,8,35,3,0,0.778,79.5,15000.0,0.0789,10.5,79583,0.931,40624050.0,4062.4,0,0
100007,강남구 동1가 상권,강남구,강남구 동1가,미용/뷰티,2023,Q1,37.586563,127.01933,29233,12256,0.3783,0.1725,21613,22488,47157,10438,13654,77.3,0.0101,10838.0,0.419,18083.0,7,45,2,1,1.0,59.1,55772.0,0.0478,8.2,5876,0.898,33092997.0,3309.3,0,1
100008,강남구 동1가 상권,강남구,강남구 동1가,소매/패션,2026,Q4,37.467625,127.004162,29298,12324,0.249,0.2594,20427,19445,64415,16312,22506,21.0,0.0397,46709.0,0.271,18524.0,2,19,2,0,0.422,32.5,80822.0,0.038,25.8,15585,0.924,39459522.0,3946.0,0,0
100009,강남구 동1가 상권,강남구,강남구 동1가,카페/디저트,2022,Q1,37.583503,127.118047,17702,7313,0.1927,0.1938,69984,14620,92252,30787,37094,20.8,0.0595,40087.0,0.327,24688.0,2,19,3,0,0.422,57.5,47208.0,0.0897,35.0,61927,0.874,55383452.0,5538.3,1,0
100010,강남구 동1가 상권,강남구,강남구 동1가,병의원/클리닉,2023,Q3,37.502824,126.895586,28098,12051,0.3969,0.1955,130473,23671,408031,128758,123970,25.0,-0.1778,30893.0,0.2,17768.0,4,24,5,2,0.533,29.9,74589.0,0.0834,25.8,53175,0.946,372333444.0,37233.3,1,0
