trdar_cd,signgu_cd_nm,adstrd_cd_nm
3110008,종로구,청운효자동
3001494,종로구,종로1·2·3·4가동
3130021,종로구,숭인2동
3130002,종로구,사직동
3130001,종로구,청운효자동
3130020,종로구,숭인2동
3130019,종로구,창신1동
3130018,종로구,창신1동
3130017,종로구,창신1동
3130016,종로구,창신1동
3130015,종로구,창신2동
3130014,종로구,창신1동
3130013,종로구,창신1동
3130012,종로구,종로5·6가동
3130011,종로구,종로5·6가동
3130010,종로구,종로5·6가동
3130009,종로구,종로5·6가동
3130007,종로구,종로1·2·3·4가동
3130005,종로구,종로1·2·3·4가동
3130004,종로구,종로1·2·3·4가동
3120017,종로구,창신1동
3120012,종로구,혜화동
3120011,종로구,종로1·2·3·4가동
3120016,종로구,창신1동
3120015,종로구,종로5·6가동
3120014,종로구,종로5·6가동
3120013,종로구,종로5·6가동
3120009,종로구,종로1·2·3·4가동
3120010,종로구,종로1·2·3·4가동
3120008,종로구,종로1·2·3·4가동
3120007,종로구,가회동
3120006,종로구,종로1·2·3·4가동
3120005,종로구,삼청동
3120004,종로구,종로1·2·3·4가동
3120003,종로구,사직동
3120002,종로구,사직동
3120001,종로구,교남동
3110531,종로구,홍은1동
3110036,종로구,숭인2동
3110034,종로구,창신1동
3110033,종로구,숭인1동
3110032,종로구,창신1동
3110031,종로구,창신3동
3110030,종로구,창신1동
3110029,종로구,창신2동
3110028,종로구,이화동
3110027,종로구,이화동
3110026,종로구,종로5·6가동
3110025,종로구,종로5·6가동
3110024,종로구,혜화동
3110023,종로구,이화동
3110022,종로구,혜화동
3110021,종로구,혜화동
3110009,종로구,부암동
3110010,종로구,평창동
3110017,종로구,가회동
3110018,종로구,가회동
3110019,종로구,종로1·2·3·4가동
3110020,종로구,혜화동
3110001,종로구,평창동
3110002,종로구,무악동
3110003,종로구,부암동
3110004,종로구,교남동
3110035,종로구,숭인2동
3110011,종로구,청운효자동
3110012,종로구,사직동
3110013,종로구,사직동
3110014,종로구,청운효자동
3110015,종로구,청운효자동
3110016,종로구,평창동
3110005,종로구,부암동
3110006,종로구,부암동
3110007,종로구,사직동
3110037,종로구,숭인2동
3110038,중구,소공동
3001493,중구,광희동
3001492,중구,소공동
3130048,중구,신당동
3130047,중구,신당동
3130024,중구,회현동
3130022,중구,회현동
3130035,중구,을지로동
3130046,중구,신당동
3130042,중구,약수동
3130038,중구,광희동
3130036,중구,광희동
3130034,중구,필동
3130033,중구,을지로동
3130032,중구,광희동
3130031,중구,을지로동
3130025,중구,회현동
3130052,중구,황학동
3130051,중구,동화동
3130050,중구,신당동
3130049,중구,신당동
3130055,중구,황학동
3130054,중구,황학동
3130053,중구,신당5동
3130327,중구,신당동
3120035,중구,광희동
3120034,중구,광희동
3120039,중구,신당동
3120038,중구,다산동
3120037,중구,광희동
3120036,중구,장충동
3120029,중구,명동
3120033,중구,을지로동
3120032,중구,필동
3120031,중구,을지로동
3120030,중구,명동
3120028,중구,명동
3120027,중구,명동
3120026,중구,명동
3120025,중구,소공동
3120024,중구,회현동
3120023,중구,명동
3120022,중구,소공동
3120021,중구,소공동
3120020,중구,소공동
3120019,중구,소공동
3120018,중구,중림동
3120043,중구,회현동
3110591,중구,중림동
3110052,중구,다산동
3110051,중구,신당동
3110050,중구,약수동
3110056,중구,신당5동
3110055,중구,황학동
3110054,중구,청구동
3110053,중구,신당동
3110049,중구,다산동
3110048,중구,장충동
3110047,중구,다산동
3110046,중구,다산동
3110045,중구,장충동
3110044,중구,장충동
3110043,중구,장충동
3110042,중구,필동
3110041,중구,명동
3110040,중구,회현동
3110039,중구,회현동
3110057,중구,황학동
3110058,용산구,원효로2동
3001491,용산구,이태원1동
3130062,용산구,보광동
3130061,용산구,이태원1동
3130060,용산구,용산2가동
3130059,용산구,후암동
3130058,용산구,이촌1동
3130057,용산구,청파동
3130056,용산구,용문동
3120041,용산구,한강로동
3120040,용산구,한강로동
3120042,용산구,남영동
3120047,용산구,한남동
3120046,용산구,이태원1동
3120045,용산구,남영동
3120044,용산구,한강로동
3110099,용산구,한남동
3110098,용산구,한남동
3110097,용산구,한남동
3110096,용산구,한남동
3110095,용산구,한남동
3110094,용산구,보광동
3110093,용산구,한남동
3110092,용산구,보광동
3110091,용산구,한남동
3110090,용산구,보광동
3110089,용산구,서빙고동
3110088,용산구,서빙고동
3110087,용산구,이태원1동
3110059,용산구,이촌2동
3110079,용산구,후암동
3110080,용산구,후암동
3110081,용산구,용산2가동
3110060,용산구,용문동
3110061,용산구,효창동
3110062,용산구,한강로동
3110063,용산구,용문동
3110064,용산구,효창동
3110082,용산구,이태원1동
3110083,용산구,서빙고동
3110084,용산구,이태원2동
3110085,용산구,이태원2동
3110086,용산구,이태원1동
3110065,용산구,원효로1동
3110066,용산구,청파동
3110067,용산구,청파동
3110068,용산구,원효로1동
3110069,용산구,청파동
3110070,용산구,한강로동
3110071,용산구,이촌1동
3110072,용산구,원효로1동
3110073,용산구,한강로동
3110074,용산구,남영동
